census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,75,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,25,,,,,,,,YBS048008036
2011,Dawson,,,Total number of occupied private dwellings by condition of dwelling,680,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001049
2011,Dawson,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,495,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,185,,,,...,...,,,6001049
2011,Dawson,,,Total number of occupied private dwellings by period of construction,680,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs99'>99</a>,6001049
2011,Dawson,Total number of occupied private dwellings by period of construction,,1960 or before,245,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by period of construction,,1961 to 1980,125,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by period of construction,,1981 to 1990,125,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by period of construction,,1991 to 2000,115,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by period of construction,,2001 to 2005,35,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by period of construction,,2006 to 2011,35,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs100'>100</a>,6001049
2011,Dawson,,,Total number of occupied private dwellings by number of rooms,680,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs101'>101</a>,6001049
2011,Dawson,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,315,,,,...,...,,,6001049
2011,Dawson,Total number of occupied private dwellings by number of rooms,,5 rooms,145,,,,...,...,,,6001029
2011,Dawson,Total number of occupied private dwellings by number of rooms,,6 rooms,100,,,,...,...,,,6001029
2011,Dawson,Total number of occupied private dwellings by number of rooms,,7 rooms,90,,,,...,...,,,6001029
2011,Dawson,Total number of occupied private dwellings by number of rooms,,8 or more rooms,35,,,,...,...,,,6001029
2011,Dawson,,,Average number of rooms per dwelling,4.8,,,,...,...,,,6001029
2011,Dawson,,,Total number of occupied private dwellings by number of bedrooms,680,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs102'>102</a>,6001029
2011,Dawson,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,170,,,,...,...,,,6001029
2011,Dawson,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,230,,,,...,...,,,6001029
2011,Dawson,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,170,,,,...,...,,,6001029
2011,Dawson,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,105,,,,...,...,,,6001029
2011,Faro,,,Total number of occupied private dwellings by condition of dwelling,170,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001004
2011,Faro,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,125,,,,...,...,,,6001004
2011,Faro,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,40,,,,...,...,,,6001018
